,name,skills,ratings,level
166,Google Advanced Data Analytics Capstone," Computer Programming, Data Analysis, Machine Learning, Python Programming",4.9,Advanced Â· Course Â· 1 - 4 Weeks
167,Build Better Generative Adversarial Networks (GANs)," Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Computer Programming, General Statistics, Machine Learning Software, Probability & Statistics, Problem Solving",4.7,Intermediate Â· Course Â· 1 - 4 Weeks
168,Data Visualization & Dashboarding with R," Data Visualization, R Programming, Statistical Programming, Data Analysis, Data Visualization Software, Computer Programming, Data Structures, Exploratory Data Analysis, Programming Principles, Statistical Visualization",4.8,Beginner Â· Specialization Â· 3 - 6 Months
169,Machine Learning," Machine Learning, Algorithms, Machine Learning Algorithms, Human Learning, Applied Machine Learning, Statistical Machine Learning, Python Programming, Probability & Statistics, Regression, Data Analysis, Machine Learning Software, Mathematics, Exploratory Data Analysis, Computer Programming, Decision Making",4.6,Intermediate Â· Specialization Â· 3 - 6 Months
170,Linear Algebra from Elementary to Advanced,Not Available,4.7,Beginner Â· Specialization Â· 3 - 6 Months
171,Introduction to Data Science in Python," Computer Programming, Data Analysis, Data Management, Python Programming, Statistical Programming, Data Mining, Extract, Transform, Load, Critical Thinking, Data Structures, Exploratory Data Analysis, General Statistics",4.5,Intermediate Â· Course Â· 1 - 4 Weeks
172,Statistical Modeling for Data Science Applications," General Statistics, Probability & Statistics, Regression, Statistical Analysis, Experiment, Statistical Tests, Calculus, Linear Algebra, R Programming",4.2,Intermediate Â· Specialization Â· 3 - 6 Months
173,AI and Climate Change," Artificial Neural Networks, Computer Vision",4.8,Beginner Â· Course Â· 1 - 4 Weeks
174,Data Science: Statistics and Machine Learning," R Programming, Data Analysis, Statistical Analysis, Statistical Programming, Probability & Statistics, Statistical Machine Learning, General Statistics, Machine Learning Algorithms, Human Learning, Machine Learning, Problem Solving, Statistical Tests, Regression, Computer Programming, Algorithms, Applied Machine Learning, Correlation And Dependence, Data Model, Estimation, Probability Distribution, Machine Learning Software, Natural Language Processing, Basic Descriptive Statistics, Exploratory Data Analysis, Computer Graphics, Data Visualization, Data Visualization Software, Interactive Data Visualization, Product Development, Web Development",4.4,Intermediate Â· Specialization Â· 3 - 6 Months
175,Data-driven Decision Making," Big Data, Business Analysis, Data Analysis, Data Management, Data Visualization, Decision Making, Business Process Management, Data Analysis Software, Data Structures, Exploratory Data Analysis",4.6,Beginner Â· Course Â· 1 - 4 Weeks
176,"Introduction to Trading, Machine Learning & GCP"," Algorithms, Financial Analysis, Machine Learning, Applied Machine Learning, Deep Learning, Finance, Google Cloud Platform, Human Learning, Investment Management, Machine Learning Algorithms, Training, Cloud Computing",4.0,Intermediate Â· Course Â· 1 - 4 Weeks
177,"Custom Models, Layers, and Loss Functions with TensorFlow"," Applied Machine Learning, Deep Learning, Machine Learning, Python Programming, Tensorflow, Artificial Neural Networks, Network Architecture, Network Model, Computer Programming, Machine Learning Algorithms",4.9,Intermediate Â· Course Â· 1 - 3 Months
178,Creative Designing in Power BI," Data Analysis, Data Visualization, Power BI",4.4,Beginner Â· Course Â· 1 - 4 Weeks
179,HR Analytics- Build an HR dashboard using Power BI," Data Visualization, Human Resources",4.6,Beginner Â· Guided Project Â· Less Than 2 Hours
180,Building Deep Learning Models with TensorFlow," Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning, Tensorflow, Applied Machine Learning, Machine Learning Algorithms, Network Model, Dimensionality Reduction, Mathematical Theory & Analysis",4.4,Intermediate Â· Course Â· 1 - 3 Months
181,Problem Solving with Excel," Data Analysis, Microsoft Excel, Business Analysis, Data Management, Problem Solving, Spreadsheet Software, Statistical Analysis, Data Analysis Software, Extract, Transform, Load, Financial Analysis, General Statistics, Forecasting",4.7,Beginner Â· Course Â· 1 - 4 Weeks
182,A Crash Course in Causality:  Inferring Causal Effects from Observational Data," General Statistics, Probability & Statistics, Statistical Tests, Data Analysis, Statistical Analysis, Estimation, Experiment, R Programming, Regression, Statistical Programming",4.7,Intermediate Â· Course Â· 1 - 3 Months
183,Deploy and Maintain Power BI Assets and Capstone project," Data Analysis, Data Management, Power BI, SQL",4.3,Beginner Â· Course Â· 1 - 3 Months
184,Process Mining: Data science in Action," Process Analysis, Data Analysis, Data Mining",4.7,Intermediate Â· Course Â· 1 - 3 Months
185,Advanced Computer Vision with TensorFlow," Artificial Neural Networks, Computer Vision, Deep Learning, Machine Learning, Tensorflow, Machine Learning Algorithms, Machine Learning Software, Applied Machine Learning, Python Programming, Visualization (Computer Graphics)",4.8,Intermediate Â· Course Â· 1 - 4 Weeks
186,Probabilistic Graphical Models 1: Representation," Bayesian Network, Probability & Statistics, Probability Distribution, General Statistics, Graph Theory, Bayesian Statistics, Correlation And Dependence, Markov Model, Network Model, Decision Making",4.6,Advanced Â· Course Â· 1 - 3 Months
187,SQL: A Practical Introduction for Querying Databases," Business Analysis, Computer Programming, Data Analysis, Data Analysis Software, Data Management, Database Administration, Database Theory, Databases, Professional Development, Python Programming, SQL",4.7,Beginner Â· Course Â· 1 - 3 Months
188,Introduction to Genomic Technologies," Bioinformatics, Data Analysis, Biostatistics, Computational Thinking, General Statistics, Research and Design, Big Data, Experiment, Statistical Analysis, Data Analysis Software",4.6,Mixed Â· Course Â· 1 - 4 Weeks
189,Supervised Machine Learning: Regression," Machine Learning, Probability & Statistics, Regression, Statistical Machine Learning, Machine Learning Algorithms, Data Analysis, Human Learning, Statistical Tests, Algorithms, General Statistics",4.7,Intermediate Â· Course Â· 1 - 3 Months
190,Introduction to Machine Learning," Artificial Neural Networks, Machine Learning, Natural Language Processing, Python Programming, Regression",4.7,Intermediate Â· Course Â· 1 - 3 Months
191,Generative AI Essentials: Overview and Impact,Not Available,4.8,Beginner Â· Course Â· 1 - 4 Weeks
192,Machine Learning Introduction for Everyone," Data Analysis, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Reinforcement Learning",4.5,Beginner Â· Course Â· 1 - 4 Weeks
193,Probability Theory: Foundation for Data Science," Probability & Statistics, General Statistics, Probability Distribution, Correlation And Dependence, Mathematics",4.5,Intermediate Â· Course Â· 1 - 3 Months
194,Deep Learning for Healthcare,Not Available,2.9,Advanced Â· Specialization Â· 1 - 3 Months
195,Apply Generative Adversarial Networks (GANs)," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Computer Vision, Python Programming, Computer Programming, Human Learning",4.8,Intermediate Â· Course Â· 1 - 4 Weeks
196,Google Cloud Big Data and Machine Learning Fundamentals," Big Data, Cloud Computing, Cloud Platforms, Google Cloud Platform, Human Learning, Machine Learning",4.7,Beginner Â· Course Â· 1 - 3 Months
197,Fundamental Skills in Bioinformatics," Bioinformatics, Computer Programming, Python Programming, R Programming",4.6,Beginner Â· Course Â· 1 - 4 Weeks
198,Managing Machine Learning Projects," Machine Learning, Leadership and Management, Project Management",4.8,Beginner Â· Course Â· 1 - 3 Months
199,Getting Started with SAS Programming," Computer Programming, Data Analysis, Databases, SAS (Software), Data Analysis Software, Data Management, SQL, Statistical Analysis, Statistical Programming, Data Structures",4.8,Beginner Â· Course Â· 1 - 3 Months
200,Introduction to R Programming for Data Science," Computer Programming, Data Analysis, Data Analysis Software, Programming Principles, R Programming, Computer Programming Tools, Data Structures, Statistical Programming, Data Model, Statistical Machine Learning, Data Science",4.5,Beginner Â· Course Â· 1 - 3 Months
201,"Capstone: Retrieving, Processing, and Visualizing Data with Python"," Computer Programming, Data Visualization, Python Programming, Databases",4.7,Beginner Â· Course Â· 1 - 3 Months
202,The Data Scientistâs Toolbox," Data Analysis, Data Management, Exploratory Data Analysis, R Programming, Basic Descriptive Statistics, Big Data, Computer Programming, Critical Thinking, General Statistics, Statistical Analysis, Statistical Programming",4.6,Mixed Â· Course Â· 1 - 4 Weeks
203,Assessment for Data Analysis and Visualization Foundations," Data Analysis, Microsoft Excel",4.6,Beginner Â· Course Â· 1 - 4 Weeks
204,GPT Vision: Seeing the World through Generative AI, Social Media,4.8,Beginner Â· Course Â· 1 - 4 Weeks
205,Python for Genomic Data Science," Python Programming, Computer Programming, Bioinformatics",4.3,Mixed Â· Course Â· 1 - 4 Weeks
206,Introduction to Business Analytics," Data Analysis, Project Management",4.7,Beginner Â· Course Â· 1 - 4 Weeks
207,AI for Medical Prognosis," Machine Learning, Machine Learning Algorithms, Probability & Statistics, Deep Learning",4.7,Intermediate Â· Course Â· 1 - 4 Weeks
208,Sample-based Learning Methods," Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Computer Programming, Applied Machine Learning, Statistical Machine Learning, Probability & Statistics, Probability Distribution",4.8,Intermediate Â· Course Â· 1 - 3 Months
209,AI Capstone Project with Deep Learning," Deep Learning, Machine Learning, Python Programming, Artificial Neural Networks, Extract, Transform, Load, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Data Visualization, Plot (Graphics)",4.5,Advanced Â· Course Â· 1 - 4 Weeks
210,AI for Scientific Research," Machine Learning Algorithms, Python Programming, Data Science, Dimensionality Reduction, Machine Learning, Regression",3.2,Beginner Â· Specialization Â· 3 - 6 Months
211,Bayesian Statistics: From Concept to Data Analysis," Bayesian Statistics, General Statistics, Probability & Statistics, Probability Distribution, Statistical Analysis, Mathematics, R Programming, Data Analysis, Estimation, Statistical Tests",4.6,Intermediate Â· Course Â· 1 - 4 Weeks
212,Supervised Machine Learning: Classification," Algorithms, Human Learning, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Machine Learning Software, Statistical Machine Learning, General Statistics, Probability & Statistics, Python Programming",4.8,Intermediate Â· Course Â· 1 - 3 Months
213,Design of Experiments," Probability & Statistics, Experiment, Statistical Analysis, General Statistics, Statistical Tests, Data Analysis, Research and Design, Regression, Plot (Graphics), Data Analysis Software, Statistical Visualization",4.7,Beginner Â· Specialization Â· 3 - 6 Months
214,"Data Ethics, AI and Responsible Innovation",Not Available,Not Available,Intermediate Â· Course Â· 1 - 3 Months
215,TensorFlow 2 for Deep Learning," Deep Learning, Machine Learning, Artificial Neural Networks, Applied Machine Learning, Python Programming, Tensorflow, Probability & Statistics, Statistical Analysis",4.8,Intermediate Â· Specialization Â· 3 - 6 Months
216,Introduction to Microsoft 365 Copilot,Not Available,Not Available,Beginner Â· Course Â· 1 - 3 Months
217,Analyzing and Visualizing Data in Looker," Data Analysis, Looker (Software)",4.7,Beginner Â· Course Â· 1 - 3 Months
218,SQL for Beginners: Querying Data," Leadership and Management, SQL",4.5,Intermediate Â· Guided Project Â· Less Than 2 Hours
219,Informed Clinical Decision Making using Deep Learning,Not Available,4.6,Intermediate Â· Specialization Â· 3 - 6 Months
220,Rust Fundamentals," Computer Programming, Software Testing, System Programming",4.3,Beginner Â· Course Â· 1 - 4 Weeks
221,Microsoft Azure for Data Engineering," Big Data, Cloud Computing, Cloud Platforms, Cloud Storage, Cloud-Based Integration, Data Architecture, Data Management, Data Warehousing, Databases, Microsoft Azure, Leadership and Management",4.5,Intermediate Â· Course Â· 1 - 4 Weeks
222,Understanding and Visualizing Data with Python," Basic Descriptive Statistics, Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Probability Distribution, Statistical Visualization, Data Visualization, Python Programming, Exploratory Data Analysis, Computer Programming",4.7,Beginner Â· Course Â· 1 - 4 Weeks
223,Fractal Data Science," Communication, Critical Thinking, Data Analysis, Data Model, Data Visualization, Exploratory Data Analysis, Feature Engineering, Power BI, Problem Solving, SQL, Storytelling",4.5,Beginner Â· Professional Certificate Â· 3 - 6 Months
224,Custom and Distributed Training with TensorFlow," Deep Learning, Machine Learning, Tensorflow, Python Programming, Applied Machine Learning, Artificial Neural Networks, Computer Programming, Human Learning, Training, Machine Learning Algorithms, Strategy",4.8,Intermediate Â· Course Â· 1 - 4 Weeks
225,Fundamentals of Scalable Data Science," Apache, Data Management, Python Programming, Statistical Programming, Cloud Computing, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Data Analysis, SQL, Computer Programming",4.3,Beginner Â· Course Â· 1 - 4 Weeks
226,The Structured Query Language (SQL)," Databases, PostgreSQL, SQL, Data Management, Data Analysis, Problem Solving, Critical Thinking, Database Design, Data Structures, Database Administration, Database Application, Data Science",4.7,Beginner Â· Course Â· 1 - 3 Months
227,Getting Started with R," Computer Programming, Data Analysis, Data Structures, R Programming, Data Science",4.3,Beginner Â· Guided Project Â· Less Than 2 Hours
228,SAS Advanced Programmer," SAS (Software), Statistical Programming, SQL, Databases, Computer Programming, Data Analysis, Data Management",4.8,Intermediate Â· Professional Certificate Â· 3 - 6 Months
229,Introduction to Embedded Machine Learning," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Data Analysis, Data Visualization, Deep Learning, Feature Engineering, Network Model, Artificial Neural Networks, Computer Programming",4.8,Intermediate Â· Course Â· 1 - 4 Weeks
230,Basic Statistics," Basic Descriptive Statistics, General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Probability Distribution, Statistical Tests, Problem Solving, Statistical Programming, Exploratory Data Analysis, R Programming, Computer Programming",4.6,Beginner Â· Course Â· 1 - 3 Months
231,Introduction to Tableau," Data Analysis, Data Visualization, Tableau Software",4.8,Beginner Â· Course Â· 1 - 4 Weeks
232,CertNexus Certified Ethical Emerging Technologist," Leadership and Management, Critical Thinking, Strategy and Operations, Human Learning, Machine Learning, Human Computer Interaction, Regulations and Compliance, Risk Management, Transportation Operations Management, Communication, Data Analysis Software, Human Resources, Organizational Development, People Development, Programming Principles, Project Management, Security Engineering, Visualization (Computer Graphics), Big Data, Business Process Management, Customer Analysis, Customer Relationship Management, Generally Accepted Accounting Principles (GAAP), Operating Systems, Probability & Statistics, Product Development, Software Architecture, Behavioral Economics, Business Communication, Decision Making, Internet Of Things, Media Strategy & Planning, Business Analysis, Computer Programming Tools, Entrepreneurship, General Statistics, Investment Management, Theoretical Computer Science, Computer Architecture, Computer Networking, Marketing, Marketing Management, Strategy, Audit, Software Testing, Training",4.7,Beginner Â· Professional Certificate Â· 3 - 6 Months
233,Econometrics: Methods and Applications," Econometrics, General Statistics, Regression",4.6,Mixed Â· Course Â· 1 - 3 Months
234,An Intuitive Introduction to Probability," Probability & Statistics, Probability Distribution, General Statistics",4.8,Beginner Â· Course Â· 1 - 3 Months
235,Fundamentals of Visualization with Tableau," Data Analysis, Data Analysis Software, Data Visualization, Exploratory Data Analysis, Interactive Data Visualization, Interactive Design, Software Visualization, Tableau Software, Visual Design, Visualization (Computer Graphics), Computer Graphics",4.5,Beginner Â· Course Â· 1 - 4 Weeks
236,Human Factors in AI," Machine Learning, Applied Machine Learning, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design",4.7,Beginner Â· Course Â· 1 - 4 Weeks
237,Machine Learning for Supply Chains," Machine Learning, Python Programming, Data Science, Natural Language Processing",3.6,Intermediate Â· Specialization Â· 3 - 6 Months
238,Clinical Data Science," Clinical Data Management, Data Management, Data Model, Databases, Data Analysis, Data Structures, Extract, Transform, Load, Leadership and Management, Data Analysis Software, SQL, R Programming",4.5,Intermediate Â· Specialization Â· 3 - 6 Months
239,AI and Disaster Management," Computer Vision, Machine Learning, Natural Language Processing",4.8,Beginner Â· Course Â· 1 - 4 Weeks
240,"Data Wrangling, Analysis and AB Testing with SQL"," Data Analysis, Data Management, Databases, Exploratory Data Analysis, SQL, Data Model, Problem Solving, Business Analysis, Database Administration, Extract, Transform, Load, Statistical Tests",3.3,Intermediate Â· Course Â· 1 - 4 Weeks
241,Mathematics for Machine Learning: PCA," Algebra, Linear Algebra, Machine Learning, Mathematics, Computer Programming, Dimensionality Reduction, Mathematical Theory & Analysis, Python Programming, Statistical Analysis, Applied Mathematics",4.0,Intermediate Â· Course Â· 1 - 4 Weeks
242,Foundations of Data Science: K-Means Clustering in Python," Data Analysis, Computer Programming, Python Programming, Statistical Analysis, Statistical Programming, Algorithms, Applied Machine Learning, Basic Descriptive Statistics, General Statistics, Machine Learning",4.6,Beginner Â· Course Â· 1 - 3 Months
243,AI For Medical Treatment," Machine Learning, Deep Learning",4.7,Intermediate Â· Course Â· 1 - 4 Weeks
244,Applied Machine Learning in Python," Algorithms, Machine Learning, Machine Learning Algorithms, Python Programming, Applied Machine Learning, Statistical Machine Learning, Data Analysis, Regression, Human Learning, Statistical Programming, Computer Programming",4.6,Intermediate Â· Course Â· 1 - 4 Weeks
245,GenAI for Everyone," Critical Thinking, Problem Solving",4.2,Beginner Â· Course Â· 1 - 4 Weeks
246,Accounting Data Analytics," Python Programming, Statistical Programming, Data Analysis, Machine Learning, Computer Programming, Data Visualization, Probability & Statistics, Regression, Data Structures, Plot (Graphics), Accounting, General Statistics, Statistical Analysis, Algorithms, Databases, Machine Learning Algorithms, SQL, Theoretical Computer Science, Data Architecture, Microsoft Excel",4.7,Intermediate Â· Specialization Â· 3 - 6 Months
247,Machine Learning with Apache Spark," Apache, Machine Learning",4.6,Intermediate Â· Course Â· 1 - 4 Weeks
248,Analytics for Decision Making," Data Analysis, Decision Making, Business Analysis, Statistical Analysis, Probability & Statistics, General Statistics, Mathematics, Spreadsheet Software, Mathematical Theory & Analysis, Algebra, Forecasting, Linear Algebra, Microsoft Excel, Plot (Graphics), Probability Distribution, Regression, Leadership and Management, Statistical Machine Learning, Basic Descriptive Statistics, Generally Accepted Accounting Principles (GAAP), Strategy and Operations, Operations Management",4.7,Beginner Â· Specialization Â· 3 - 6 Months
249,Probability and Statistics: To p or not to p?," General Statistics, Probability & Statistics, Probability Distribution, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Decision Making, Estimation, Data Analysis",4.6,Beginner Â· Course Â· 1 - 3 Months
250,Algorithms for DNA Sequencing," Algorithms, Bioinformatics, Computer Programming, Python Programming, Computational Thinking, Data Structures, Data Analysis, Programming Principles, Computational Logic, Computer Programming Tools",4.7,Mixed Â· Course Â· 1 - 4 Weeks
251,Data Visualization with Advanced Excel," Business Analysis, Data Analysis, Data Analysis Software, Data Model, Data Visualization, Microsoft Excel, Spreadsheet Software, Data Management, Data Visualization Software, Interactive Data Visualization",4.8,Beginner Â· Course Â· 1 - 4 Weeks
252,Recommender Systems," Data Analysis, Basic Descriptive Statistics, Probability & Statistics, Machine Learning, Applied Machine Learning, Natural Language Processing, Statistical Analysis, Statistical Programming, Algorithms, Collaboration, Microsoft Excel",4.3,Intermediate Â· Specialization Â· 3 - 6 Months
253,Data Science Ethics," Decision Making, Critical Thinking, Data Analysis, Data Management, Regulations and Compliance, Social Media, Big Data, Experiment, General Statistics, Probability & Statistics",4.7,Beginner Â· Course Â· 1 - 3 Months
254,Exploratory Data Analysis With Python and Pandas," Data Analysis, Exploratory Data Analysis, Python Programming",4.5,Beginner Â· Guided Project Â· Less Than 2 Hours
255,Data Analysis Using Python," Data Analysis, Python Programming, Computer Programming, Data Analysis Software, Data Management, Data Structures, Data Visualization, Exploratory Data Analysis, Programming Principles, Computer Programming Tools, Data Science",4.5,Beginner Â· Course Â· 1 - 4 Weeks
256,Data Mining Foundations and Practice," Algorithms, Data Mining, Data Warehousing",3.5,Intermediate Â· Specialization Â· 1 - 3 Months
257,Expressway to Data Science: R Programming and Tidyverse," Computer Programming, R Programming, Data Visualization, Programming Principles, Statistical Programming, Computer Programming Tools, Data Structures, Communication, Data Analysis",4.3,Beginner Â· Specialization Â· 1 - 3 Months
258,Exam Prep DAS-C01: AWS Certified Data Analytics Specialty," Cloud Computing, Data Analysis, Data Visualization",4.7,Beginner Â· Specialization Â· 3 - 6 Months
259,Advanced Machine Learning and Signal Processing," Machine Learning, Machine Learning Algorithms, Machine Learning Software, Python Programming, Statistical Programming, Apache, Data Management, Extract, Transform, Load, Feature Engineering, Probability & Statistics, Human Learning",4.5,Advanced Â· Course Â· 1 - 4 Weeks
260,ChatGPT for Beginners: Using AI for Market Research, Market Research,4.1,Beginner Â· Guided Project Â· Less Than 2 Hours
261,Data Analysis with R," Data Analysis, Exploratory Data Analysis, R Programming, Computer Programming, General Statistics, Statistical Analysis, Statistical Programming, Basic Descriptive Statistics, Data Analysis Software, Statistical Visualization, Data Visualization, Data Science",4.7,Intermediate Â· Course Â· 1 - 3 Months
262,Prediction and Control with Function Approximation," Machine Learning, Reinforcement Learning",4.8,Intermediate Â· Course Â· 1 - 3 Months
263,Using Data Analytics in Supply Chain," Data Analysis, Data Visualization, Problem Solving, Risk Management",3.9,Beginner Â· Course Â· 1 - 3 Months
264,Deep Learning and Reinforcement Learning," Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Reinforcement Learning, Algorithms, Network Model, Machine Learning Software",4.5,Intermediate Â· Course Â· 1 - 3 Months
265,Linear Regression and Modeling," Data Analysis, General Statistics, Probability & Statistics, Regression, Statistical Analysis, Statistical Tests, Correlation And Dependence, Plot (Graphics), Problem Solving, R Programming",4.8,Beginner Â· Course Â· 1 - 4 Weeks
266,Julia Scientific Programming," Computer Programming, Mathematics, Other Programming Languages, Computational Thinking, Data Visualization, Programming Principles",4.4,Beginner Â· Course Â· 1 - 4 Weeks
267,Introduction to Designing Data Lakes on AWS," Amazon Web Services, Big Data, Data Management, Data Warehousing, Cloud Computing, Cloud Storage, Data Analysis, Data Architecture, Extract, Transform, Load, Cloud Platforms, Machine Learning",4.7,Intermediate Â· Course Â· 1 - 4 Weeks
268,Launching into Machine Learning," Machine Learning, Data Analysis, Probability & Statistics, Statistical Programming, Data Visualization, Exploratory Data Analysis, Python Programming, Regression, SQL, Statistical Visualization, Cloud Computing, Extract, Transform, Load, Human Learning, Tensorflow",4.6,Beginner Â· Course Â· 1 - 3 Months
269,Machine Translation," Machine Learning, Natural Language Processing, Human Learning, Machine Learning Algorithms, Artificial Neural Networks, Statistical Machine Learning, Applied Machine Learning, Algorithms, Human Computer Interaction, Probability & Statistics",4.5,Intermediate Â· Course Â· 1 - 3 Months
270,Inferential Statistics," Data Analysis, General Statistics, Probability & Statistics, Statistical Tests, Statistical Analysis, Probability Distribution, Basic Descriptive Statistics, Problem Solving, R Programming, Statistical Programming",4.8,Beginner Â· Course Â· 1 - 3 Months
271,Applied AI with DeepLearning," Machine Learning, Artificial Neural Networks, Deep Learning, Statistical Programming, Machine Learning Software, Python Programming, Statistical Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Apache, Human Learning, Tensorflow",4.4,Advanced Â· Course Â· 1 - 4 Weeks
272,Responsible AI - Principles and Ethical Considerations, Critical Thinking,4.0,Intermediate Â· Course Â· 1 - 3 Months
273,Data Analytics for Lean Six Sigma," Probability & Statistics, Data Visualization, General Statistics, Statistical Visualization, Basic Descriptive Statistics, Correlation And Dependence, Data Analysis, Statistical Tests, Minitab",4.8,Beginner Â· Course Â· 1 - 3 Months
274,Unsupervised Machine Learning," Algorithms, Machine Learning, Machine Learning Algorithms, Dimensionality Reduction, Applied Machine Learning, Human Learning, Statistical Machine Learning",4.7,Intermediate Â· Course Â· 1 - 3 Months
275,DataOps Methodology," Data Management, Leadership and Management, Data Analysis, Data Architecture, Data Model",4.7,Beginner Â· Course Â· 1 - 3 Months
276,Generative Deep Learning with TensorFlow," Artificial Neural Networks, Computer Vision, Deep Learning, Machine Learning, Tensorflow, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Visualization (Computer Graphics)",4.9,Intermediate Â· Course Â· 1 - 4 Weeks
277,Apache Spark (TM) SQL for Data Analysts," Apache, Data Management, Data Analysis, Exploratory Data Analysis, Big Data, SQL",4.5,Intermediate Â· Course Â· 1 - 3 Months
278,XG-Boost 101: Used Cars Price Prediction," Machine Learning, Regression, Python Programming",4.7,Intermediate Â· Guided Project Â· Less Than 2 Hours
279,"Statistical Thinking for Industrial Problem Solving, presented by JMP"," Exploratory Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Data Visualization",4.8,Beginner Â· Course Â· 1 - 3 Months
280,Data Analysis with SQL: Inform a Business Decision," Data Analysis, SQL",4.5,Beginner Â· Guided Project Â· Less Than 2 Hours
281,Business Analysis Process, Business Analysis,4.7,Beginner Â· Course Â· 1 - 4 Weeks
282,Excel Essentials and Beyond," Data Visualization, Microsoft Excel",Not Available,Beginner Â· Course Â· 1 - 3 Months
283,"Build AI Apps with ChatGPT, Dall-E, and GPT-4"," Javascript, Machine Learning, Web Development, Web Development Tools",4.3,Intermediate Â· Course Â· 1 - 4 Weeks
284,Classification of COVID19 using Chest X-ray Images in Keras," Artificial Neural Networks, Deep Learning, Python Programming, Data Science",4.6,Intermediate Â· Guided Project Â· Less Than 2 Hours
285,"Foundations of Sports Analytics: Data, Representation, and Models in Sports"," Data Analysis, Python Programming, General Statistics, Statistical Analysis, Probability & Statistics, Statistical Programming, Regression, Exploratory Data Analysis, Statistical Tests, Computer Programming",4.4,Intermediate Â· Course Â· 1 - 3 Months
286,Getting Started with Data Analytics on AWS," Cloud Computing, Data Analysis",4.5,Beginner Â· Course Â· 1 - 4 Weeks
287,Statistics for Data Science with Python," Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Python Programming, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Data Visualization",4.5,Mixed Â· Course Â· 1 - 3 Months
288,Research Data Management and Sharing," Data Management, Leadership and Management, Planning, Clinical Data Management, Data Analysis, Data Warehousing, Databases, Regulations and Compliance, Research and Design, Strategy and Operations",4.7,Mixed Â· Course Â· 1 - 3 Months
289,Generative AI: Foundation Models and Platforms,Not Available,4.7,Beginner Â· Course Â· 1 - 4 Weeks
290,Machine Learning: Theory and Hands-on Practice with Python," Machine Learning, Statistical Machine Learning, Machine Learning Algorithms, Python Programming, Probability & Statistics, Statistical Programming, Regression, Data Analysis, Applied Machine Learning, Correlation And Dependence, Deep Learning, Dimensionality Reduction",3.4,Intermediate Â· Specialization Â· 3 - 6 Months
291,Introduction to Data Analysis Using Excel," Business Analysis, Data Analysis, Spreadsheet Software, Statistical Analysis, Data Visualization, Plot (Graphics), Statistical Visualization, Microsoft Excel",4.7,Mixed Â· Course Â· 1 - 4 Weeks
292,Copywriting with ChatGPT: Produce Compelling Copy That Sells,Not Available,4.8,Beginner Â· Guided Project Â· Less Than 2 Hours
293,SAS Statistical Business Analyst," SAS (Software), Statistical Programming, Data Analysis, Probability & Statistics, Regression, Statistical Analysis, General Statistics, Statistical Tests, Statistical Visualization, Data Model, Machine Learning, Statistical Machine Learning, Basic Descriptive Statistics, Data Mining",4.6,Intermediate Â· Professional Certificate Â· 3 - 6 Months
294,Data Storage in Microsoft Azure," Cloud Computing, Cloud Management, Cloud Storage, Data Management, Microsoft Azure, Cloud Platforms, Databases, Cloud Applications, Data Model, Store Management, Accounting",4.3,Intermediate Â· Course Â· 1 - 3 Months
295,Business Analytics Capstone, Strategy,4.5,Intermediate Â· Course Â· 1 - 3 Months
296,Social Media Data Analytics," General Statistics, Python Programming, Probability & Statistics, Statistical Programming, Data Analysis, Regression, Statistical Analysis, Computer Programming, R Programming",4.1,Intermediate Â· Course Â· 1 - 4 Weeks
297,Data Visualization with Tableau," Data Visualization, Tableau Software",4.8,Beginner Â· Course Â· 1 - 3 Months
298,Database systems," Databases, SQL, Business Intelligence, Data Warehousing, Leadership and Management, NoSQL",4.3,Intermediate Â· Specialization Â· 3 - 6 Months
299,A Complete Reinforcement Learning System (Capstone)," Machine Learning, Reinforcement Learning, Algorithms, Applied Machine Learning, Artificial Neural Networks, Human Learning, Machine Learning Algorithms",4.7,Intermediate Â· Course Â· 1 - 3 Months
300,Deep Learning for Computer Vision," Computer Vision, Deep Learning, Matlab",Not Available,Beginner Â· Specialization Â· 1 - 3 Months
