,course_name,skills,ratings,difficulty,certification_type
149,Natural Language Processing with Sequence Models," Artificial Neural Networks, Deep Learning, Machine Learning, Natural Language Processing, Statistical Programming, Python Programming",4.5,Intermediate,Course
150,"Decisions, Decisions: Dashboards and Reports"," Business Intelligence, Data Model, Data Visualization, Tableau Software",4.8,Advanced,Course
151,Regression Analysis: Simplify Complex Data Relationships," Python Programming, Regression, Statistical Analysis",4.7,Advanced,Course
152,Survey Data Collection and Analytics," General Statistics, Probability & Statistics, Survey Creation, Research and Design, Data Analysis, Big Data, People Analysis, Statistical Analysis, Data Management, Market Research, Process Analysis, Social Media, Critical Thinking, Data Model, Decision Making, Estimation, Market Analysis, Data Visualization, Communication, Human Learning",4.4,Beginner,Specialization
153,R Programming," Computational Thinking, Computer Programming, Computer Programming Tools, Critical Thinking, Data Analysis, Data Structures, Problem Solving, Programming Principles, R Programming, Statistical Programming, General Statistics",4.5,Intermediate,Course
154,Machine Learning and Reinforcement Learning in Finance," Machine Learning, Human Learning, Machine Learning Algorithms, Algorithms, Finance, Mathematics, Regression, Statistical Machine Learning, Applied Machine Learning, Artificial Neural Networks, Deep Learning, Reinforcement Learning, Tensorflow",3.7,Intermediate,Specialization
155,Computational Neuroscience," Mathematics, Computer Programming, Mathematical Theory & Analysis, Probability & Statistics, Python Programming, Computational Logic, Data Analysis, Artificial Neural Networks, Linear Algebra, Machine Learning, Human Learning",4.6,Beginner,Course
156,The Nuts and Bolts of Machine Learning," Machine Learning, Python Programming",4.8,Advanced,Course
157,Computational Social Science," Big Data, Computational Thinking, Data Analysis, Machine Learning, Human Learning, Network Analysis, Machine Learning Algorithms, Social Media, Data Management, Natural Language Processing, Algorithms, Behavioral Economics, Exploratory Data Analysis, Network Architecture, Network Model, Probability & Statistics, Theoretical Computer Science, Applied Machine Learning, Computer Networking, Computer Programming, Data Model, Statistical Machine Learning, General Statistics, Graph Theory",4.6,Beginner,Specialization
158,Data Literacy: Exploring and Visualizing Data," Data Analysis, Data Management, Data Visualization, Data Visualization Software, Interactive Data Visualization, SAS (Software), Statistical Visualization, Business Analysis, Data Analysis Software, Exploratory Data Analysis, Statistical Analysis, Statistical Programming",4.7,Beginner,Specialization
159,IBM Data Analyst Capstone Project," Python Programming, Exploratory Data Analysis, Computer Programming, Data Analysis, Data Visualization, Microsoft Excel, SQL",4.6,Intermediate,Course
160,Microsoft PL-300 Exam Preparation and Practice, Data Analysis,4.5,Beginner,Course
161,Machine Learning Introduction for Everyone," Data Analysis, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Reinforcement Learning",4.5,Beginner,Course
162,Introduction to Data Science in Python," Computer Programming, Data Analysis, Data Management, Python Programming, Statistical Programming, Data Mining, Extract, Transform, Load, Computer Programming Tools, Critical Thinking, Exploratory Data Analysis, General Statistics",4.5,Intermediate,Course
163,Data Visualization & Dashboarding with R," Data Visualization, R Programming, Statistical Programming, Data Analysis, Data Visualization Software, Computer Programming, Data Structures, Exploratory Data Analysis, Extract, Transform, Load, Programming Principles",4.8,Beginner,Specialization
164,Introduction to Probability and Data with R," Basic Descriptive Statistics, Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Critical Thinking, R Programming, Exploratory Data Analysis, Statistical Programming, Statistical Tests, Computer Programming",4.7,Beginner,Course
165,Google Advanced Data Analytics Capstone," Computer Programming, Data Analysis, Machine Learning, Python Programming",4.9,Advanced,Course
166,Probabilistic Graphical Models 1: Representation," Bayesian Network, Probability & Statistics, Probability Distribution, General Statistics, Graph Theory, Bayesian Statistics, Correlation And Dependence, Markov Model, Network Model, Mathematics",4.6,Advanced,Course
167,Data-driven Decision Making," Big Data, Business Analysis, Data Analysis, Data Management, Data Visualization, Decision Making, Business Process Management, Critical Thinking, Exploratory Data Analysis, Leadership and Management",4.6,Beginner,Course
168,Building Deep Learning Models with TensorFlow," Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning, Tensorflow, Applied Machine Learning, Machine Learning Algorithms, Network Model, Dimensionality Reduction, Mathematical Theory & Analysis",4.4,Intermediate,Course
169,Creative Designing in Power BI," Data Analysis, Data Visualization, Power BI",4.5,Beginner,Course
170,Introduction to Machine Learning," Artificial Neural Networks, Machine Learning, Natural Language Processing, Python Programming, Regression",4.7,Intermediate,Course
171,Statistical Modeling for Data Science Applications," General Statistics, Probability & Statistics, Regression, Statistical Analysis, Experiment, Statistical Tests, Calculus, Linear Algebra, R Programming",4.2,Intermediate,Specialization
172,Data Science: Statistics and Machine Learning," R Programming, Data Analysis, Statistical Analysis, Statistical Programming, Probability & Statistics, Statistical Machine Learning, General Statistics, Machine Learning Algorithms, Human Learning, Machine Learning, Problem Solving, Statistical Tests, Regression, Computer Programming, Algorithms, Applied Machine Learning, Correlation And Dependence, Data Model, Estimation, Probability Distribution, Machine Learning Software, Natural Language Processing, Basic Descriptive Statistics, Exploratory Data Analysis, Data Visualization, Data Visualization Software, Interactive Data Visualization, Plot (Graphics), Product Development, Web Development",4.4,Intermediate,Specialization
173,Microsoft Azure Data Fundamentals DP-900 Exam Prep," Data Management, Databases, Microsoft Azure, Cloud Computing, SQL, Big Data, Data Analysis, Database Application, Data Architecture, Data Warehousing, Cloud Storage, Data Structures, Data Visualization, Extract, Transform, Load, Leadership and Management, NoSQL, Data Analysis Software, Data Visualization Software, Database Administration, Cloud Infrastructure, Cloud Management, Database Theory, PostgreSQL",4.7,Beginner,Specialization
174,Advanced Computer Vision with TensorFlow," Artificial Neural Networks, Computer Vision, Deep Learning, Machine Learning, Tensorflow, Machine Learning Algorithms, Machine Learning Software, Applied Machine Learning, Human Learning, Python Programming",4.8,Intermediate,Course
175,GPT Vision: Seeing the World through Generative AI, Social Media,4.8,Beginner,Course
176,Build Better Generative Adversarial Networks (GANs)," Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Computer Programming, Computer Vision, General Statistics, Probability & Statistics, Problem Solving",4.7,Intermediate,Course
177,"Custom Models, Layers, and Loss Functions with TensorFlow"," Applied Machine Learning, Deep Learning, Machine Learning, Python Programming, Tensorflow, Artificial Neural Networks, Network Architecture, Network Model, Computer Programming, Machine Learning Algorithms",4.9,Intermediate,Course
178,AI and Climate Change," Artificial Neural Networks, Computer Vision",4.8,Beginner,Course
179,Introduction to Genomic Technologies," Bioinformatics, Data Analysis, Biostatistics, Computational Thinking, General Statistics, Research and Design, Big Data, Experiment, Statistical Analysis, Computer Programming Tools",4.6,Mixed,Course
180,A Crash Course in Causality:  Inferring Causal Effects from Observational Data," General Statistics, Probability & Statistics, Statistical Tests, Data Analysis, Statistical Analysis, Estimation, Probability Distribution, R Programming, Regression, Statistical Programming",4.7,Intermediate,Course
181,Managing Machine Learning Projects," Machine Learning, Leadership and Management, Project Management",4.8,Beginner,Course
182,Google Cloud Big Data and Machine Learning Fundamentals," Big Data, Cloud Computing, Cloud Platforms, Google Cloud Platform, Human Learning, Machine Learning",4.7,Beginner,Course
183,Deploy and Maintain Power BI Assets and Capstone project," Data Analysis, Data Management, Power BI, SQL",4.3,Beginner,Course
184,Leverage Data Science for a More Agile Supply Chain," Inventory Management, Data Analysis, Supply Chain Systems, Leadership and Management, Business Analysis, Forecasting, Supply Chain and Logistics",4.5,Intermediate,Specialization
185,Assessment for Data Analysis and Visualization Foundations," Data Analysis, Microsoft Excel",4.6,Beginner,Course
186,Supervised Machine Learning: Regression," Machine Learning, Probability & Statistics, Regression, Statistical Machine Learning, Machine Learning Algorithms, Data Analysis, Human Learning, Statistical Tests, Algorithms, Python Programming",4.7,Intermediate,Course
187,"Introduction to Trading, Machine Learning & GCP"," Algorithms, Financial Analysis, Machine Learning, Artificial Neural Networks, Deep Learning, Finance, Google Cloud Platform, Human Learning, Investment Management, Training, Cloud Computing",4,Intermediate,Course
188,HR Analytics- Build an HR dashboard using Power BI," Data Visualization, Human Resources",4.6,Beginner,Guided
189,SQL: A Practical Introduction for Querying Databases," Business Analysis, Computational Thinking, Data Analysis, Data Analysis Software, Data Management, Data Structures, Database Design, Databases, Professional Development, Python Programming, SQL",4.6,Beginner,Course
190,Getting Started with SAS Programming," Computer Programming, Data Analysis, Databases, SAS (Software), Data Analysis Software, Data Management, SQL, Statistical Analysis, Statistical Programming, Programming Principles",4.8,Beginner,Course
191,Generative AI Essentials: Overview and Impact,Not Available,4.7,Beginner,Course
192,Introduction to R Programming for Data Science," Computer Programming, Data Analysis, Data Analysis Software, Programming Principles, R Programming, Computer Programming Tools, Data Structures, Statistical Programming, Data Visualization Software, Exploratory Data Analysis, Data Science",4.5,Beginner,Course
193,Problem Solving with Excel," Data Analysis, Microsoft Excel, Business Analysis, Data Management, Problem Solving, Spreadsheet Software, Statistical Analysis, Data Analysis Software, Extract, Transform, Load, General Statistics, Forecasting",4.7,Beginner,Course
194,Data Warehousing for Business Intelligence," Data Warehousing, Data Management, Databases, Business Intelligence, Database Design, Data Model, Database Administration, Business Analysis, SQL, Data Analysis, Data Architecture, Warehouse Management, Data Visualization, Leadership and Management, Systems Design, Extract, Transform, Load, Critical Thinking, Performance Management, Solution Sales Engineering",4.5,Advanced,Specialization
195,SAS Advanced Programmer," SAS (Software), Statistical Programming, SQL, Databases, Computer Programming, Data Analysis, Data Management",4.8,Intermediate,Professional
196,Introduction to Embedded Machine Learning," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Data Analysis, Data Visualization, Deep Learning, Feature Engineering, Network Model, Artificial Neural Networks, Computer Programming",4.8,Intermediate,Course
197,Design of Experiments," Probability & Statistics, Experiment, Statistical Analysis, General Statistics, Statistical Tests, Data Analysis, Research and Design, Regression, Basic Descriptive Statistics, Probability Distribution, Statistical Visualization",4.7,Beginner,Specialization
198,Sample-based Learning Methods," Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Computer Programming, Applied Machine Learning, Statistical Machine Learning, Planning, Probability & Statistics",4.8,Intermediate,Course
199,Process Mining: Data science in Action," Process Analysis, Data Analysis, Data Mining",4.7,Intermediate,Course
200,The Data Scientistâs Toolbox," Data Analysis, Data Management, Exploratory Data Analysis, R Programming, Big Data, Computer Programming, Critical Thinking, Data Visualization Software, General Statistics, Programming Principles",4.6,Mixed,Course
201,Probability Theory: Foundation for Data Science," Probability & Statistics, General Statistics, Probability Distribution, Correlation And Dependence, Mathematics",4.5,Intermediate,Course
202,Python for Genomic Data Science," Python Programming, Computer Programming, Bioinformatics",4.3,Mixed,Course
203,AI for Medical Prognosis," Machine Learning, Machine Learning Algorithms, Probability & Statistics, Deep Learning",4.7,Intermediate,Course
204,Apply Generative Adversarial Networks (GANs)," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Computer Vision, Python Programming, Computer Programming, Human Learning",4.8,Intermediate,Course
205,The Structured Query Language (SQL)," Databases, PostgreSQL, SQL, Data Management, Data Analysis, Problem Solving, Critical Thinking, Database Design, Data Structures, Database Administration, Database Application, Data Science",4.7,Beginner,Course
206,"Capstone: Retrieving, Processing, and Visualizing Data with Python"," Computer Programming, Data Visualization, Python Programming, Databases",4.7,Beginner,Course
207,Linear Algebra from Elementary to Advanced,Not Available,4.7,Beginner,Specialization
208,Introduction to Business Analytics," Data Analysis, Project Management",4.7,Beginner,Course
209,Bayesian Statistics: From Concept to Data Analysis," Bayesian Statistics, General Statistics, Probability & Statistics, Probability Distribution, Statistical Analysis, Mathematics, R Programming, Data Analysis, Estimation, Statistical Programming",4.6,Intermediate,Course
210,"Data Ethics, AI and Responsible Innovation",Not Available,Not Available,Intermediate,Course
211,AI Capstone Project with Deep Learning," Deep Learning, Machine Learning, Python Programming, Artificial Neural Networks, Extract, Transform, Load, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Data Visualization, Computer Programming",4.5,Advanced,Course
212,Fundamentals of Visualization with Tableau," Data Analysis, Data Analysis Software, Data Visualization, Data Visualization Software, Exploratory Data Analysis, Interactive Data Visualization, Interactive Design, Tableau Software, Visual Design, Visualization (Computer Graphics), Computer Graphics",4.5,Beginner,Course
213,An Intuitive Introduction to Probability," Probability & Statistics, Probability Distribution, General Statistics",4.8,Beginner,Course
214,Understanding and Visualizing Data with Python," Basic Descriptive Statistics, Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Probability Distribution, Statistical Visualization, Data Visualization, Python Programming, Statistical Tests, Computer Programming",4.7,Beginner,Course
215,Machine Learning: Theory and Hands-on Practice with Python," Machine Learning, Statistical Machine Learning, Machine Learning Algorithms, Python Programming, Probability & Statistics, Statistical Programming, Regression, Data Analysis, Applied Machine Learning, Statistical Analysis, Deep Learning, Dimensionality Reduction",3.4,Intermediate,Specialization
216,Basic Statistics," Basic Descriptive Statistics, General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Probability Distribution, Statistical Tests, Problem Solving, Statistical Programming, Correlation And Dependence, R Programming, Computer Programming",4.6,Beginner,Course
217,Rust Fundamentals," Computer Programming, Software Testing, System Programming",4.3,Beginner,Course
218,AI For Medical Treatment," Machine Learning, Deep Learning, Natural Language Processing",4.7,Intermediate,Course
219,Machine Learning for Supply Chains," Machine Learning, Python Programming, Data Science, Natural Language Processing",3.6,Intermediate,Specialization
220,Supervised Machine Learning: Classification," Algorithms, Human Learning, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Machine Learning Software, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression",4.8,Intermediate,Course
221,Introduction to Microsoft 365 Copilot,Not Available,Not Available,Beginner,Course
222,Analytics for Decision Making," Data Analysis, Decision Making, Business Analysis, Statistical Analysis, Probability & Statistics, General Statistics, Mathematics, Spreadsheet Software, Mathematical Theory & Analysis, Algebra, Forecasting, Linear Algebra, Microsoft Excel, Plot (Graphics), Probability Distribution, Regression, Leadership and Management, Statistical Machine Learning, Basic Descriptive Statistics, Generally Accepted Accounting Principles (GAAP), Strategy and Operations, Operations Management",4.7,Beginner,Specialization
223,Fundamental Skills in Bioinformatics," Bioinformatics, Computer Programming, Python Programming, R Programming",4.6,Beginner,Course
224,TensorFlow 2 for Deep Learning," Deep Learning, Machine Learning, Artificial Neural Networks, Applied Machine Learning, Python Programming, Tensorflow, Probability & Statistics, Statistical Analysis",4.8,Intermediate,Specialization
225,Human Factors in AI," Machine Learning, Applied Machine Learning, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design",4.7,Beginner,Course
226,GenAI for Everyone," Critical Thinking, Natural Language Processing, Problem Solving",4.2,Beginner,Course
227,Introduction to Tableau," Data Analysis, Data Visualization, Tableau Software",4.8,Beginner,Course
228,Getting Started with R," Computer Programming, Data Analysis, Data Structures, R Programming, Data Science",4.3,Beginner,Guided
229,Recommender Systems," Data Analysis, Basic Descriptive Statistics, Probability & Statistics, Machine Learning, Applied Machine Learning, Natural Language Processing, Correlation And Dependence, General Statistics, Statistical Analysis, Statistical Programming, Collaboration, Human Learning, Microsoft Excel",4.3,Intermediate,Specialization
230,Custom and Distributed Training with TensorFlow," Deep Learning, Machine Learning, Tensorflow, Python Programming, Applied Machine Learning, Artificial Neural Networks, Computer Programming, Human Learning, Training, Machine Learning Algorithms, Strategy",4.8,Intermediate,Course
231,SQL for Beginners: Querying Data," Data Management, SQL",4.5,Intermediate,Guided
232,"Data Wrangling, Analysis and AB Testing with SQL"," Data Analysis, Data Management, Databases, Exploratory Data Analysis, SQL, Data Model, Problem Solving, Business Analysis, Customer Analysis, Database Administration, Extract, Transform, Load",3.3,Intermediate,Course
233,Practical Data Science with MATLAB," Data Analysis, Exploratory Data Analysis, Matlab, Machine Learning, Data Visualization, Data Analysis Software, Interactive Data Visualization, Probability & Statistics, Statistical Visualization, Applied Machine Learning, Machine Learning Algorithms, Regression, Data Visualization Software, Plot (Graphics), Statistical Analysis, Machine Learning Software, Training, Correlation And Dependence, Feature Engineering, Software Visualization, Data Science",4.8,Beginner,Specialization
234,Tidyverse Skills for Data Science in R," R Programming, Data Management, Data Analysis, Data Structures, Data Visualization, Databases, Extract, Transform, Load, Plot (Graphics), Database Design, Leadership and Management, Programming Principles, Computer Programming, Database Theory, Regression, General Statistics, Statistical Analysis, Statistical Programming",4.5,Beginner,Specialization
235,Microsoft Azure for Data Engineering," Big Data, Cloud Computing, Cloud Platforms, Cloud Storage, Cloud-Based Integration, Data Architecture, Data Management, Data Warehousing, Databases, Microsoft Azure, Leadership and Management",4.5,Intermediate,Course
236,Fundamentals of Scalable Data Science," Apache, Data Management, Python Programming, Statistical Programming, Cloud Computing, General Statistics, Probability & Statistics, Basic Descriptive Statistics, IBM Cloud, SQL, Computer Programming",4.3,Beginner,Course
237,Mathematics for Machine Learning: PCA," Algebra, Linear Algebra, Machine Learning, Mathematics, Computer Programming, Dimensionality Reduction, Mathematical Theory & Analysis, Python Programming, Statistical Analysis, Statistical Programming",4,Intermediate,Course
238,AI for Scientific Research," Machine Learning Algorithms, Python Programming, Data Science, Dimensionality Reduction, Machine Learning, Regression",3.2,Beginner,Specialization
239,Social Media Data Analytics," General Statistics, Python Programming, Probability & Statistics, Statistical Programming, Data Analysis, Regression, Statistical Analysis, Computer Programming, R Programming",4.1,Intermediate,Course
240,Fractal Data Science," Communication, Critical Thinking, Data Analysis, Data Model, Data Visualization, Exploratory Data Analysis, Feature Engineering, Power BI, Problem Solving, SQL, Storytelling",4.5,Beginner,Professional
241,Applied Machine Learning in Python," Algorithms, Machine Learning, Machine Learning Algorithms, Python Programming, Applied Machine Learning, Statistical Machine Learning, Data Analysis, Regression, Human Learning, Statistical Programming, Computer Programming",4.6,Intermediate,Course
242,Data Analysis with R," Data Analysis, Exploratory Data Analysis, R Programming, Computer Programming, General Statistics, Statistical Analysis, Statistical Programming, Basic Descriptive Statistics, Data Analysis Software, Statistical Visualization, Data Visualization, Data Science",4.7,Intermediate,Course
243,Data Visualization with Advanced Excel," Business Analysis, Data Analysis, Data Analysis Software, Data Model, Data Visualization, Microsoft Excel, Spreadsheet Software, Data Management, Data Visualization Software, Interactive Data Visualization",4.8,Beginner,Course
244,Machine Learning with Apache Spark, Machine Learning,4.6,Intermediate,Course
245,AI and Disaster Management," Computer Vision, Machine Learning, Natural Language Processing",4.8,Beginner,Course
246,Accounting Data Analytics," Python Programming, Statistical Programming, Data Analysis, Machine Learning, Computer Programming, Data Visualization, Probability & Statistics, Regression, Data Structures, Plot (Graphics), Accounting, General Statistics, Statistical Analysis, Algorithms, Databases, Machine Learning Algorithms, SQL, Data Architecture, Microsoft Excel",4.7,Intermediate,Specialization
247,Expressway to Data Science: Python Programming," Python Programming, Computer Programming, Programming Principles, Computer Programming Tools, Computational Thinking, Problem Solving, Data Science, Data Visualization, Software Engineering",4.7,Beginner,Specialization
248,Using Data Analytics in Supply Chain," Data Analysis, Data Visualization, Problem Solving, Risk Management",3.9,Beginner,Course
249,Analyzing and Visualizing Data in Looker," Data Analysis, Looker (Software)",4.7,Beginner,Course
250,Algorithms for DNA Sequencing," Algorithms, Bioinformatics, Computer Programming, Python Programming, Computational Thinking, Data Structures, Data Analysis, Programming Principles, Computational Logic, Computer Programming Tools",4.7,Mixed,Course
251,Advanced Machine Learning and Signal Processing," Machine Learning, Machine Learning Algorithms, Machine Learning Software, Python Programming, Statistical Programming, Apache, Data Management, Extract, Transform, Load, Feature Engineering, Probability & Statistics, Human Learning",4.5,Advanced,Course
252,CertNexus Certified Artificial Intelligence Practitioner," Machine Learning, Training, Data Analysis, Deep Learning, Regression, Software Testing",4.6,Intermediate,Professional
253,Clinical Data Science," Clinical Data Management, Data Management, Data Model, Databases, Data Analysis, Data Structures, Extract, Transform, Load, Leadership and Management, Data Analysis Software, SQL, R Programming",4.5,Intermediate,Specialization
254,Informed Clinical Decision Making using Deep Learning,Not Available,4.6,Intermediate,Specialization
255,Data Science Methods for Quality Improvement," Data Analysis, General Statistics, R Programming",4.5,Intermediate,Specialization
256,Data Science Ethics," Decision Making, Critical Thinking, Data Analysis, Data Management, Regulations and Compliance, Social Media, Big Data, Experiment, General Statistics, People Analysis",4.7,Beginner,Course
257,Data Analytics for Lean Six Sigma," Probability & Statistics, Data Visualization, General Statistics, Statistical Visualization, Basic Descriptive Statistics, Correlation And Dependence, Data Analysis, Statistical Tests, Minitab",4.8,Beginner,Course
258,Expressway to Data Science: R Programming and Tidyverse," Computer Programming, R Programming, Data Visualization, Programming Principles, Statistical Programming, Computer Programming Tools, Data Structures, Communication, Data Analysis",4.3,Beginner,Specialization
259,Data Mining Foundations and Practice," Algorithms, Data Mining, Data Warehousing",3.4,Intermediate,Specialization
260,Apache Spark (TM) SQL for Data Analysts," Apache, Data Management, Data Analysis, Exploratory Data Analysis, Big Data, SQL",4.5,Intermediate,Course
261,Introduction to Designing Data Lakes on AWS," Amazon Web Services, Big Data, Data Management, Data Warehousing, Cloud Computing, Cloud Storage, Data Analysis, Data Architecture, Extract, Transform, Load, Cloud Platforms, Machine Learning",4.7,Intermediate,Course
262,Applied AI with DeepLearning," Machine Learning, Artificial Neural Networks, Deep Learning, Statistical Programming, Machine Learning Software, Python Programming, Statistical Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Apache, Human Learning, Tensorflow",4.4,Advanced,Course
263,SAS Statistical Business Analyst," SAS (Software), Statistical Programming, Data Analysis, Probability & Statistics, Regression, Statistical Analysis, General Statistics, Statistical Tests, Statistical Visualization, Data Model, Machine Learning, Statistical Machine Learning, Basic Descriptive Statistics, Data Mining",4.6,Intermediate,Professional
264,Exploratory Data Analysis With Python and Pandas," Data Analysis, Exploratory Data Analysis, Python Programming",4.5,Beginner,Guided
265,Data Analysis Using Python," Data Analysis, Python Programming, Computer Programming, Data Analysis Software, Data Management, Data Structures, Data Visualization, Exploratory Data Analysis, Programming Principles, Problem Solving, Data Science",4.5,Beginner,Course
266,Generative AI: Foundation Models and Platforms,Not Available,4.8,Beginner,Course
267,Doing Economics: Measuring Climate Change, Microsoft Excel,4.5,Beginner,Course
268,Foundations of Data Science: K-Means Clustering in Python," Data Analysis, Computer Programming, Python Programming, Statistical Analysis, Statistical Programming, Basic Descriptive Statistics, Data Visualization, General Statistics, Machine Learning, Machine Learning Algorithms",4.6,Beginner,Course
269,Introduction to Microsoft Excel," Microsoft Excel, Business Analysis, Data Analysis, Data Management, Data Visualization",4.6,Beginner,Guided
270,Business Analysis Process, Business Analysis,4.7,Beginner,Course
271,"Statistical Thinking for Industrial Problem Solving, presented by JMP"," Exploratory Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Data Visualization, Experiment",4.8,Beginner,Course
272,Probabilistic Graphical Models 2: Inference," Bayesian Network, General Statistics, Probability & Statistics, Graph Theory, Bayesian Statistics, Markov Model",4.6,Advanced,Course
273,Probability and Statistics: To p or not to p?," General Statistics, Probability & Statistics, Probability Distribution, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Decision Making, Estimation, Data Analysis",4.6,Beginner,Course
274,Copywriting with ChatGPT: Produce Compelling Copy That Sells,Not Available,4.8,Beginner,Guided
275,Classification of COVID19 using Chest X-ray Images in Keras," Deep Learning, Python Programming, Data Science",4.6,Intermediate,Guided
276,Deep Learning and Reinforcement Learning," Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Reinforcement Learning, Algorithms, Network Model, Tensorflow",4.6,Intermediate,Course
277,The Unix Workbench," Computer Programming, Cloud Computing",4.7,Beginner,Course
278,Prediction and Control with Function Approximation," Machine Learning, Reinforcement Learning",4.8,Intermediate,Course
279,Leveraging AI for Enhanced Content Creation,Not Available,4.7,Beginner,Course
280,Linear Regression and Modeling," Data Analysis, General Statistics, Probability & Statistics, Regression, Statistical Analysis, Statistical Tests, Correlation And Dependence, Plot (Graphics), Problem Solving, R Programming",4.8,Beginner,Course
281,Generative Deep Learning with TensorFlow," Artificial Neural Networks, Computer Vision, Deep Learning, Machine Learning, Tensorflow, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Computer Programming",4.9,Intermediate,Course
282,Inferential Statistics," Data Analysis, General Statistics, Probability & Statistics, Statistical Tests, Statistical Analysis, Probability Distribution, Basic Descriptive Statistics, Problem Solving, Statistical Programming, Statistical Visualization",4.8,Beginner,Course
283,Mastering Software Development in R," R Programming, Statistical Programming, Data Analysis, Software Engineering, Exploratory Data Analysis, Basic Descriptive Statistics, Data Visualization, Computer Programming",4.3,Beginner,Specialization
284,SQL for Data Science with R," Data Management, Databases, SQL, Data Analysis, Database Application, Computer Programming, Database Administration, Database Design, R Programming, Database Theory, Data Science",4.3,Beginner,Course
285,Launching into Machine Learning," Machine Learning, Data Analysis, Probability & Statistics, Statistical Programming, Data Visualization, Exploratory Data Analysis, Python Programming, Regression, SQL, Statistical Visualization, Cloud Computing, Extract, Transform, Load, Human Learning, Tensorflow",4.6,Beginner,Course
286,Exam Prep DAS-C01: AWS Certified Data Analytics Specialty," Cloud Computing, Data Analysis, Data Visualization",4.7,Beginner,Specialization
287,Introduction to Data Analysis Using Excel," Business Analysis, Data Analysis, Spreadsheet Software, Statistical Analysis, Data Visualization, Plot (Graphics), Statistical Visualization, Microsoft Excel",4.7,Mixed,Course
288,Statistics for Data Science with Python," Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Python Programming, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Data Visualization",4.5,Mixed,Course
289,A Complete Reinforcement Learning System (Capstone)," Machine Learning, Reinforcement Learning, Algorithms, Applied Machine Learning, Artificial Neural Networks, Human Learning, Machine Learning Algorithms",4.7,Intermediate,Course
290,Computer Vision with Embedded Machine Learning," Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Computer Programming, Python Programming",4.8,Intermediate,Course
291,Artificial Intelligence for Breast Cancer Detection," Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Probability & Statistics",4.6,Intermediate,Course
292,Specialized Models: Time Series and Survival Analysis," Forecasting, Machine Learning, Data Analysis, Probability & Statistics, Statistical Analysis, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Statistical Machine Learning, Deep Learning, Dimensionality Reduction",4.5,Intermediate,Course
293,Data Literacy," General Statistics, Data Analysis, Probability & Statistics, Statistical Analysis, Research and Design, Statistical Tests, Basic Descriptive Statistics, Regression, Data Visualization, Exploratory Data Analysis",4.6,Beginner,Specialization
294,Responsible AI - Principles and Ethical Considerations, Critical Thinking,4,Intermediate,Course
295,Business Metrics for Data-Driven Companies," Business Analysis, Data Analysis",4.6,Mixed,Course
296,Data Visualization with Tableau," Data Visualization, Tableau Software",4.8,Beginner,Course
297,Unsupervised Machine Learning," Algorithms, Machine Learning, Machine Learning Algorithms, Dimensionality Reduction, Applied Machine Learning, Human Learning, Statistical Machine Learning",4.7,Intermediate,Course
298,Using Machine Learning in Trading and Finance," Finance, Financial Analysis, Financial Management, Investment Management, Leadership and Management, Machine Learning, Market Analysis, Risk Management, Strategy, Python Programming",3.9,Intermediate,Course
299,Python for Data Analysis: Pandas & NumPy," Data Analysis, Python Programming, Data Science",4.4,Beginner,Guided
300,"Foundations of Sports Analytics: Data, Representation, and Models in Sports"," Data Analysis, Python Programming, General Statistics, Statistical Analysis, Probability & Statistics, Statistical Programming, Regression, Exploratory Data Analysis, Statistical Tests, Correlation And Dependence",4.4,Intermediate,Course
301,Data Analysis with SQL: Inform a Business Decision," Data Analysis, SQL",4.5,Beginner,Guided
302,Business Analytics Capstone, Strategy,4.5,Intermediate,Course
303,Machine Translation," Machine Learning, Natural Language Processing, Human Learning, Machine Learning Algorithms, Artificial Neural Networks, Statistical Machine Learning, Applied Machine Learning, Algorithms, Human Computer Interaction, Machine Learning Software",4.5,Intermediate,Course
